Unnamed: 0,TFF,CT,TAV,SHOT_COUNT,STATISTICS_ID,MOLD_ID,MOLD_CODE,COUNTER_ID,CDATA_ID,SC,WACT,ACT,TOOLING_TYPE,TOTAL_CAVITIES,max_shots,DATE,HOUR,LIFE_CYCLE,PHASE
0,20210528150148,0.0,251,7,114084,103961,9781.12-002&003 T4,NCM2115I01003,114083,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052815,7e-06,1
1,20210528160150,0.0,252,0,114198,103961,9781.12-002&003 T4,NCM2115I01003,114197,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052816,7e-06,1
2,20210528170153,0.0,252,0,114303,103961,9781.12-002&003 T4,NCM2115I01003,114302,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052817,7e-06,1
3,20210528180155,0.0,253,0,114407,103961,9781.12-002&003 T4,NCM2115I01003,114406,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052818,7e-06,1
4,20210528190157,0.0,251,0,114512,103961,9781.12-002&003 T4,NCM2115I01003,114511,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052819,7e-06,1
5,20210528200159,0.0,251,0,114617,103961,9781.12-002&003 T4,NCM2115I01003,114616,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052820,7e-06,1
6,20210528210201,0.0,251,0,114722,103961,9781.12-002&003 T4,NCM2115I01003,114721,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052821,7e-06,1
7,20210528220203,0.0,252,0,114827,103961,9781.12-002&003 T4,NCM2115I01003,114826,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052822,7e-06,1
8,20210528230205,0.0,251,0,114932,103961,9781.12-002&003 T4,NCM2115I01003,114931,7,502.44046116021,600,Injection Mold,1,1000000,20210528,2021052823,7e-06,1
9,20210529000207,0.0,252,0,115044,103961,9781.12-002&003 T4,NCM2115I01003,115043,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052900,7e-06,1
10,20210529010210,0.0,252,0,115149,103961,9781.12-002&003 T4,NCM2115I01003,115148,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052901,7e-06,1
11,20210529020213,0.0,251,0,115254,103961,9781.12-002&003 T4,NCM2115I01003,115253,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052902,7e-06,1
12,20210529030215,0.0,250,0,115363,103961,9781.12-002&003 T4,NCM2115I01003,115362,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052903,7e-06,1
13,20210529040217,0.0,251,0,115468,103961,9781.12-002&003 T4,NCM2115I01003,115467,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052904,7e-06,1
14,20210529050219,0.0,249,0,115573,103961,9781.12-002&003 T4,NCM2115I01003,115572,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052905,7e-06,1
15,20210529060221,0.0,247,0,115687,103961,9781.12-002&003 T4,NCM2115I01003,115686,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052906,7e-06,1
16,20210529070224,0.0,245,0,115796,103961,9781.12-002&003 T4,NCM2115I01003,115795,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052907,7e-06,1
17,20210529080226,0.0,243,0,115910,103961,9781.12-002&003 T4,NCM2115I01003,115909,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052908,7e-06,1
18,20210529090228,0.0,240,0,116015,103961,9781.12-002&003 T4,NCM2115I01003,116014,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052909,7e-06,1
19,20210529100230,0.0,242,0,116120,103961,9781.12-002&003 T4,NCM2115I01003,116119,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052910,7e-06,1
20,20210529110232,0.0,238,0,116225,103961,9781.12-002&003 T4,NCM2115I01003,116224,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052911,7e-06,1
21,20210529120234,0.0,235,0,116330,103961,9781.12-002&003 T4,NCM2115I01003,116329,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052912,7e-06,1
22,20210529130236,0.0,237,0,116435,103961,9781.12-002&003 T4,NCM2115I01003,116434,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052913,7e-06,1
23,20210529140238,0.0,236,0,116540,103961,9781.12-002&003 T4,NCM2115I01003,116539,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052914,7e-06,1
24,20210529150240,0.0,237,0,116645,103961,9781.12-002&003 T4,NCM2115I01003,116644,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052915,7e-06,1
25,20210529160242,0.0,235,0,116760,103961,9781.12-002&003 T4,NCM2115I01003,116759,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052916,7e-06,1
26,20210529170245,0.0,233,0,116867,103961,9781.12-002&003 T4,NCM2115I01003,116866,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052917,7e-06,1
27,20210529180247,0.0,232,0,116973,103961,9781.12-002&003 T4,NCM2115I01003,116972,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052918,7e-06,1
28,20210529190249,0.0,231,0,117079,103961,9781.12-002&003 T4,NCM2115I01003,117078,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052919,7e-06,1
29,20210529200251,0.0,229,0,117185,103961,9781.12-002&003 T4,NCM2115I01003,117184,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052920,7e-06,1
30,20210529210253,0.0,226,0,117291,103961,9781.12-002&003 T4,NCM2115I01003,117290,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052921,7e-06,1
31,20210529220255,0.0,225,0,117400,103961,9781.12-002&003 T4,NCM2115I01003,117399,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052922,7e-06,1
32,20210529230257,0.0,223,0,117506,103961,9781.12-002&003 T4,NCM2115I01003,117505,7,502.44046116021,600,Injection Mold,1,1000000,20210529,2021052923,7e-06,1
33,20210530000259,0.0,219,0,117619,103961,9781.12-002&003 T4,NCM2115I01003,117618,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053000,7e-06,1
34,20210530010301,0.0,221,0,117725,103961,9781.12-002&003 T4,NCM2115I01003,117724,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053001,7e-06,1
35,20210530020303,0.0,221,0,117831,103961,9781.12-002&003 T4,NCM2115I01003,117830,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053002,7e-06,1
36,20210530030305,0.0,219,0,117941,103961,9781.12-002&003 T4,NCM2115I01003,117940,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053003,7e-06,1
37,20210530040307,0.0,219,0,118047,103961,9781.12-002&003 T4,NCM2115I01003,118046,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053004,7e-06,1
38,20210530050309,0.0,217,0,118153,103961,9781.12-002&003 T4,NCM2115I01003,118152,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053005,7e-06,1
39,20210530060311,0.0,217,0,118269,103961,9781.12-002&003 T4,NCM2115I01003,118268,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053006,7e-06,1
40,20210530070313,0.0,218,0,118375,103961,9781.12-002&003 T4,NCM2115I01003,118374,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053007,7e-06,1
41,20210530080315,0.0,219,0,118481,103961,9781.12-002&003 T4,NCM2115I01003,118480,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053008,7e-06,1
42,20210530090317,0.0,218,0,118587,103961,9781.12-002&003 T4,NCM2115I01003,118586,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053009,7e-06,1
43,20210530100319,0.0,219,0,118693,103961,9781.12-002&003 T4,NCM2115I01003,118692,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053010,7e-06,1
44,20210530110321,0.0,219,0,118799,103961,9781.12-002&003 T4,NCM2115I01003,118798,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053011,7e-06,1
45,20210530120323,0.0,221,0,118905,103961,9781.12-002&003 T4,NCM2115I01003,118904,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053012,7e-06,1
46,20210530130325,0.0,219,0,119011,103961,9781.12-002&003 T4,NCM2115I01003,119010,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053013,7e-06,1
47,20210530140327,0.0,221,0,119117,103961,9781.12-002&003 T4,NCM2115I01003,119116,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053014,7e-06,1
48,20210530150329,0.0,222,0,119222,103961,9781.12-002&003 T4,NCM2115I01003,119221,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053015,7e-06,1
49,20210530160331,0.0,220,0,119328,103961,9781.12-002&003 T4,NCM2115I01003,119327,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053016,7e-06,1
50,20210530170333,0.0,220,0,119434,103961,9781.12-002&003 T4,NCM2115I01003,119433,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053017,7e-06,1
51,20210530180335,0.0,220,0,119540,103961,9781.12-002&003 T4,NCM2115I01003,119539,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053018,7e-06,1
52,20210530190337,0.0,219,0,119646,103961,9781.12-002&003 T4,NCM2115I01003,119645,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053019,7e-06,1
53,20210530200340,0.0,217,0,119752,103961,9781.12-002&003 T4,NCM2115I01003,119751,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053020,7e-06,1
54,20210530210342,0.0,215,0,119861,103961,9781.12-002&003 T4,NCM2115I01003,119860,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053021,7e-06,1
55,20210530220344,0.0,218,0,119967,103961,9781.12-002&003 T4,NCM2115I01003,119966,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053022,7e-06,1
56,20210530230346,0.0,217,0,120073,103961,9781.12-002&003 T4,NCM2115I01003,120072,7,502.44046116021,600,Injection Mold,1,1000000,20210530,2021053023,7e-06,1
57,20210531000348,0.0,219,0,120186,103961,9781.12-002&003 T4,NCM2115I01003,120185,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053100,7e-06,1
58,20210531010350,0.0,218,0,120292,103961,9781.12-002&003 T4,NCM2115I01003,120291,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053101,7e-06,1
59,20210531020352,0.0,218,0,120398,103961,9781.12-002&003 T4,NCM2115I01003,120397,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053102,7e-06,1
60,20210531030355,0.0,216,0,120508,103961,9781.12-002&003 T4,NCM2115I01003,120507,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053103,7e-06,1
61,20210531040357,0.0,216,0,120615,103961,9781.12-002&003 T4,NCM2115I01003,120614,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053104,7e-06,1
62,20210531050359,0.0,213,0,120721,103961,9781.12-002&003 T4,NCM2115I01003,120720,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053105,7e-06,1
63,20210531060401,0.0,214,0,120841,103961,9781.12-002&003 T4,NCM2115I01003,120840,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053106,7e-06,1
64,20210531070403,0.0,216,0,120948,103961,9781.12-002&003 T4,NCM2115I01003,120947,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053107,7e-06,1
65,20210531080405,0.0,218,0,121054,103961,9781.12-002&003 T4,NCM2115I01003,121053,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053108,7e-06,1
66,20210531090407,0.0,219,0,121161,103961,9781.12-002&003 T4,NCM2115I01003,121160,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053109,7e-06,1
67,20210531100409,0.0,222,0,121437,103961,9781.12-002&003 T4,NCM2115I01003,121436,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053110,7e-06,1
68,20210531110411,0.0,224,0,121593,103961,9781.12-002&003 T4,NCM2115I01003,121592,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053111,7e-06,1
69,20210531120413,0.0,225,0,121718,103961,9781.12-002&003 T4,NCM2115I01003,121717,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053112,7e-06,1
70,20210531130416,0.0,226,0,121846,103961,9781.12-002&003 T4,NCM2115I01003,121845,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053113,7e-06,1
71,20210531140418,0.0,227,0,121970,103961,9781.12-002&003 T4,NCM2115I01003,121969,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053114,7e-06,1
72,20210531150420,0.0,227,0,122094,103961,9781.12-002&003 T4,NCM2115I01003,122093,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053115,7e-06,1
73,20210531160423,0.0,230,0,122222,103961,9781.12-002&003 T4,NCM2115I01003,122221,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053116,7e-06,1
74,20210531170425,0.0,230,0,122346,103961,9781.12-002&003 T4,NCM2115I01003,122345,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053117,7e-06,1
75,20210531180427,0.0,231,0,122470,103961,9781.12-002&003 T4,NCM2115I01003,122469,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053118,7e-06,1
76,20210531190429,0.0,233,0,122595,103961,9781.12-002&003 T4,NCM2115I01003,122594,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053119,7e-06,1
77,20210531200431,0.0,231,0,122719,103961,9781.12-002&003 T4,NCM2115I01003,122718,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053120,7e-06,1
78,20210531210433,0.0,232,0,122843,103961,9781.12-002&003 T4,NCM2115I01003,122842,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053121,7e-06,1
79,20210531220435,0.0,233,0,122967,103961,9781.12-002&003 T4,NCM2115I01003,122966,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053122,7e-06,1
80,20210531230437,0.0,231,0,123091,103961,9781.12-002&003 T4,NCM2115I01003,123090,7,502.44046116021,600,Injection Mold,1,1000000,20210531,2021053123,7e-06,1
81,20210601000439,0.0,232,0,123225,103961,9781.12-002&003 T4,NCM2115I01003,123224,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060100,7e-06,1
82,20210601010441,0.0,233,0,123350,103961,9781.12-002&003 T4,NCM2115I01003,123349,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060101,7e-06,1
83,20210601020443,0.0,235,0,123474,103961,9781.12-002&003 T4,NCM2115I01003,123473,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060102,7e-06,1
84,20210601030445,0.0,234,0,123602,103961,9781.12-002&003 T4,NCM2115I01003,123601,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060103,7e-06,1
85,20210601040447,0.0,235,0,123726,103961,9781.12-002&003 T4,NCM2115I01003,123725,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060104,7e-06,1
86,20210601050449,0.0,234,0,123857,103961,9781.12-002&003 T4,NCM2115I01003,123856,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060105,7e-06,1
87,20210601060451,0.0,235,0,124089,103961,9781.12-002&003 T4,NCM2115I01003,124088,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060106,7e-06,1
88,20210601070453,0.0,236,0,124214,103961,9781.12-002&003 T4,NCM2115I01003,124213,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060107,7e-06,1
89,20210601080455,0.0,239,0,124338,103961,9781.12-002&003 T4,NCM2115I01003,124337,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060108,7e-06,1
90,20210601090457,0.0,239,0,124464,103961,9781.12-002&003 T4,NCM2115I01003,124463,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060109,7e-06,1
91,20210601100459,0.0,239,0,124669,103961,9781.12-002&003 T4,NCM2115I01003,124668,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060110,7e-06,1
92,20210601110501,0.0,242,0,124795,103961,9781.12-002&003 T4,NCM2115I01003,124794,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060111,7e-06,1
93,20210601120503,0.0,240,0,124919,103961,9781.12-002&003 T4,NCM2115I01003,124918,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060112,7e-06,1
94,20210601130505,0.0,240,0,125044,103961,9781.12-002&003 T4,NCM2115I01003,125043,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060113,7e-06,1
95,20210601140508,0.0,239,0,125168,103961,9781.12-002&003 T4,NCM2115I01003,125167,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060114,7e-06,1
96,20210601150510,0.0,241,0,125292,103961,9781.12-002&003 T4,NCM2115I01003,125291,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060115,7e-06,1
97,20210601160512,0.0,239,0,125415,103961,9781.12-002&003 T4,NCM2115I01003,125414,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060116,7e-06,1
98,20210601170514,0.0,242,0,125540,103961,9781.12-002&003 T4,NCM2115I01003,125539,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060117,7e-06,1
99,20210601180516,0.0,242,0,125668,103961,9781.12-002&003 T4,NCM2115I01003,125667,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060118,7e-06,1
100,20210601190518,0.0,243,0,125792,103961,9781.12-002&003 T4,NCM2115I01003,125791,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060119,7e-06,1
101,20210601200520,0.0,242,0,125916,103961,9781.12-002&003 T4,NCM2115I01003,125915,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060120,7e-06,1
102,20210601210522,0.0,242,0,126040,103961,9781.12-002&003 T4,NCM2115I01003,126039,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060121,7e-06,1
103,20210601220524,0.0,241,0,126164,103961,9781.12-002&003 T4,NCM2115I01003,126163,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060122,7e-06,1
104,20210601230527,0.0,238,0,126288,103961,9781.12-002&003 T4,NCM2115I01003,126287,7,502.44046116021,600,Injection Mold,1,1000000,20210601,2021060123,7e-06,1
105,20210602000530,0.0,241,0,126424,103961,9781.12-002&003 T4,NCM2115I01003,126423,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060200,7e-06,1
106,20210602010532,0.0,241,0,126550,103961,9781.12-002&003 T4,NCM2115I01003,126549,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060201,7e-06,1
107,20210602020534,0.0,242,0,126676,103961,9781.12-002&003 T4,NCM2115I01003,126675,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060202,7e-06,1
108,20210602030536,0.0,241,0,126823,103961,9781.12-002&003 T4,NCM2115I01003,126822,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060203,7e-06,1
109,20210602040539,0.0,241,0,126973,103961,9781.12-002&003 T4,NCM2115I01003,126972,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060204,7e-06,1
110,20210602050541,0.0,239,0,127282,103961,9781.12-002&003 T4,NCM2115I01003,127281,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060205,7e-06,1
111,20210602060544,0.0,241,0,127406,103961,9781.12-002&003 T4,NCM2115I01003,127405,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060206,7e-06,1
112,20210602070546,0.0,242,0,127530,103961,9781.12-002&003 T4,NCM2115I01003,127529,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060207,7e-06,1
113,20210602080548,0.0,242,0,127656,103961,9781.12-002&003 T4,NCM2115I01003,127655,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060208,7e-06,1
114,20210602090550,0.0,245,0,127780,103961,9781.12-002&003 T4,NCM2115I01003,127779,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060209,7e-06,1
115,20210602100553,0.0,246,0,127904,103961,9781.12-002&003 T4,NCM2115I01003,127903,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060210,7e-06,1
116,20210602110555,0.0,247,0,128046,103961,9781.12-002&003 T4,NCM2115I01003,128045,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060211,7e-06,1
117,20210602120557,0.0,247,0,128160,103961,9781.12-002&003 T4,NCM2115I01003,128159,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060212,7e-06,1
118,20210602130559,0.0,239,0,128284,103961,9781.12-002&003 T4,NCM2115I01003,128283,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060213,7e-06,1
119,20210602140601,0.0,240,0,128412,103961,9781.12-002&003 T4,NCM2115I01003,128411,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060214,7e-06,1
120,20210602150603,0.0,241,0,128536,103961,9781.12-002&003 T4,NCM2115I01003,128535,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060215,7e-06,1
121,20210602160605,0.0,242,0,128660,103961,9781.12-002&003 T4,NCM2115I01003,128659,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060216,7e-06,1
122,20210602170607,0.0,243,0,128784,103961,9781.12-002&003 T4,NCM2115I01003,128783,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060217,7e-06,1
123,20210602180609,0.0,242,0,128908,103961,9781.12-002&003 T4,NCM2115I01003,128907,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060218,7e-06,1
124,20210602190611,0.0,243,0,129036,103961,9781.12-002&003 T4,NCM2115I01003,129035,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060219,7e-06,1
125,20210602200613,0.0,242,0,129160,103961,9781.12-002&003 T4,NCM2115I01003,129159,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060220,7e-06,1
126,20210602210615,0.0,241,0,129285,103961,9781.12-002&003 T4,NCM2115I01003,129284,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060221,7e-06,1
127,20210602220617,0.0,241,0,129420,103961,9781.12-002&003 T4,NCM2115I01003,129419,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060222,7e-06,1
128,20210602230619,0.0,238,0,129566,103961,9781.12-002&003 T4,NCM2115I01003,129565,7,502.44046116021,600,Injection Mold,1,1000000,20210602,2021060223,7e-06,1
129,20210603000621,0.0,238,0,129689,103961,9781.12-002&003 T4,NCM2115I01003,129688,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060300,7e-06,1
130,20210603010623,0.0,235,0,129816,103961,9781.12-002&003 T4,NCM2115I01003,129815,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060301,7e-06,1
131,20210603020626,0.0,232,0,129943,103961,9781.12-002&003 T4,NCM2115I01003,129942,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060302,7e-06,1
132,20210603030628,0.0,234,0,130070,103961,9781.12-002&003 T4,NCM2115I01003,130069,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060303,7e-06,1
133,20210603040630,0.0,232,0,130195,103961,9781.12-002&003 T4,NCM2115I01003,130194,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060304,7e-06,1
134,20210603050632,0.0,230,0,130480,103961,9781.12-002&003 T4,NCM2115I01003,130479,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060305,7e-06,1
135,20210603060634,0.0,231,0,130605,103961,9781.12-002&003 T4,NCM2115I01003,130604,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060306,7e-06,1
136,20210603070636,0.0,231,0,130730,103961,9781.12-002&003 T4,NCM2115I01003,130729,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060307,7e-06,1
137,20210603080638,0.0,234,0,130855,103961,9781.12-002&003 T4,NCM2115I01003,130854,7,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060308,7e-06,1
138,20210603090641,0.0,231,0,131092,103961,9781.12-002&003 T4,NCM2115I01003,131091,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060309,0.368381,2
139,20210603090641,0.0,231,0,131095,103961,9781.12-002&003 T4,NCM2115I01003,131094,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060309,0.368381,2
140,20210603093718,0.0,237,0,131250,103961,9781.12-002&003 T4,NCM2115I01003,131249,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060309,0.368381,2
141,20210603103720,0.0,235,0,131380,103961,9781.12-002&003 T4,NCM2115I01003,131379,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060310,0.368381,2
142,20210603113722,0.0,234,0,131524,103961,9781.12-002&003 T4,NCM2115I01003,131523,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060311,0.368381,2
143,20210603123725,0.0,235,0,131656,103961,9781.12-002&003 T4,NCM2115I01003,131655,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060312,0.368381,2
144,20210603133727,0.0,239,0,131786,103961,9781.12-002&003 T4,NCM2115I01003,131785,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060313,0.368381,2
145,20210603143729,0.0,237,0,131919,103961,9781.12-002&003 T4,NCM2115I01003,131918,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060314,0.368381,2
146,20210603153731,0.0,237,0,132047,103961,9781.12-002&003 T4,NCM2115I01003,132046,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060315,0.368381,2
147,20210603163733,0.0,235,0,132177,103961,9781.12-002&003 T4,NCM2115I01003,132176,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060316,0.368381,2
148,20210603173735,0.0,235,0,132307,103961,9781.12-002&003 T4,NCM2115I01003,132306,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060317,0.368381,2
149,20210603183738,0.0,236,0,132437,103961,9781.12-002&003 T4,NCM2115I01003,132436,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060318,0.368381,2
150,20210603193741,0.0,233,0,132567,103961,9781.12-002&003 T4,NCM2115I01003,132566,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060319,0.368381,2
151,20210603203744,0.0,231,0,132699,103961,9781.12-002&003 T4,NCM2115I01003,132698,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060320,0.368381,2
152,20210603213746,0.0,233,0,132831,103961,9781.12-002&003 T4,NCM2115I01003,132830,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060321,0.368381,2
153,20210603223748,0.0,235,0,132961,103961,9781.12-002&003 T4,NCM2115I01003,132960,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060322,0.368381,2
154,20210603233751,0.0,233,0,133111,103961,9781.12-002&003 T4,NCM2115I01003,133110,368381,502.44046116021,600,Injection Mold,1,1000000,20210603,2021060323,0.368381,2
155,20210604003754,0.0,233,0,133243,103961,9781.12-002&003 T4,NCM2115I01003,133242,368381,502.44046116021,600,Injection Mold,1,1000000,20210604,2021060400,0.368381,2
156,20210604013756,0.0,233,0,133373,103961,9781.12-002&003 T4,NCM2115I01003,133372,368381,502.44046116021,600,Injection Mold,1,1000000,20210604,2021060401,0.368381,2
157,20210604023758,0.0,233,0,133507,103961,9781.12-002&003 T4,NCM2115I01003,133506,368381,502.44046116021,600,Injection Mold,1,1000000,20210604,2021060402,0.368381,2
158,20210604033800,0.0,232,0,133638,103961,9781.12-002&003 T4,NCM2115I01003,133637,368381,502.44046116021,600,Injection Mold,1,1000000,20210604,2021060403,0.368381,2
159,20210604043802,0.0,231,0,133768,103961,9781.12-002&003 T4,NCM2115I01003,133767,368381,502.44046116021,600,Injection Mold,1,1000000,20210604,2021060404,0.368381,2
